,source,author,title,description,url,urlToImage,publishedAt,content,count,sentiment,datetime
0,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Aruna Viswanatha, Sadie Gurman, Cameron McWhirter",WSJ News Exclusive | White House Forced Georgia U.S. Attorney to Resign,"White House officials pushed Atlanta's top federal prosecutor to resign before Georgia's U.S. Senate runoffs because President Trump was upset he wasn't doing enough to investigate the president's allegations of election fraud, people familiar with the matter…",https://www.wsj.com/articles/white-house-forced-georgia-u-s-attorney-to-resign-11610225840,https://images.wsj.net/im-283165/social,2021-01-09T22:40:02Z,White House officials pushed Atlantas top federal prosecutor to resign before Georgias U.S. Senate runoffs because President Trump was upset he wasnt doing enough to investigate the presidents unprov… [+1032 chars],1,-0.6950000000000001,2021-01-09
1,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Stella Yifan Xie,China’s New Rules Amp Up Pressure on U.S. Businesses - The Wall Street Journal,China’s New Rules Amp Up Pressure on U.S. Businesses  The Wall Street Journal,https://www.wsj.com/articles/chinas-new-rules-amp-up-pressure-on-u-s-businesses-11610205056,https://images.wsj.net/im-283136/social,2021-01-09T15:10:00Z,"HONG KONGBeijing hit back against recent U.S. restrictions targeting Chinese companies, saying it plans to ban Chinese firms and citizens from complying with foreign laws and sanctions it deems unjus… [+872 chars]",1,-0.296,2021-01-09
2,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",WSJ Staff,"As Democrats Take Over Senate, Personal Finance Hangs in Balance - The Wall Street Journal","<ol><li>As Democrats Take Over Senate, Personal Finance Hangs in Balance  The Wall Street Journal
</li><li>David Perdue concedes Georgia Senate race to Jon Ossoff  CNN
</li><li>Will you be getting a 3rd stimulus check? Will it be $2,000? $1,400?  KUTV 2News…",https://www.wsj.com/articles/as-democrats-take-over-senate-personal-finance-hangs-in-balance-11610188201,https://images.wsj.net/im-282681/social,2021-01-09T10:30:00Z,This week Democratic candidates won both runoff races in Georgia and took control of the U.S. Senate. That marks a sea change in Washington and potentially the financial lives of Americans.With Democ… [+8081 chars],1,0.0,2021-01-09
3,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",,"Biden Seeks Another Covid-19 Relief Package, $15 Minimum Wage",President-elect Joe Biden said he will be “laying out the groundwork” for another Covid-19 relief package next week; he is also seeking an increase in the federal minimum wage. Photo: Jim Watson/Agence France-Presse/Getty Images,https://www.wsj.com/video/biden-seeks-another-covid-19-relief-package-15-minimum-wage/D796FEBA-53A2-4464-A606-AB73454C5B4E.html,http://m.wsj.net/video/20210108/newbidensplash2/newbidensplash2_1280x720.jpg,2021-01-08T21:02:12Z,"Inside the Tear of God: A Unique House on Crete That Filters the Sun
9/7/2020For his home on Crete, Greeces largest island, George Kalykakis wanted something unique. He got a sculptural structure, n… [+117 chars]",1,0.5682,2021-01-08
4,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",,"Biden Seeks Another Covid-19 Relieve Package, $15 Minimum Wage",President-elect Joe Biden said he will be “laying out the groundwork” for another Covid-19 relief package next week; he is also seeking an increase in the federal minimum wage. Photo: Jim Watson/Agence France-Presse/Getty Images,https://www.wsj.com/video/biden-seeks-another-covid-19-relieve-package-15-minimum-wage/D796FEBA-53A2-4464-A606-AB73454C5B4E.html,http://m.wsj.net/video/20210108/010821bidenjobs/010821bidenjobs_1280x720.jpg,2021-01-08T21:02:12Z,"Inside the Tear of God: A Unique House on Crete That Filters the Sun
9/7/2020For his home on Crete, Greeces largest island, George Kalykakis wanted something unique. He got a sculptural structure, n… [+117 chars]",1,0.51045,2021-01-08
5,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Sabrina Siddiqui, Stephanie Armour",Biden Plans to Release Nearly All Available Covid-19 Vaccine Doses - The Wall Street Journal,"<ol><li>Biden Plans to Release Nearly All Available Covid-19 Vaccine Doses  The Wall Street Journal
</li><li>Exclusive: Biden will release nearly all available vaccine doses in break from Trump administration policy of holding back stock for second dose  CNN…",https://www.wsj.com/articles/biden-plans-to-release-all-available-covid-19-vaccine-doses-11610127971,https://images.wsj.net/im-282756/social,2021-01-08T19:16:00Z,"WASHINGTONPresident-elect Joe Biden will seek to release nearly all available coronavirus vaccine doses to accelerate distribution, his transition team said Friday, in a shift from the Trump administ… [+1399 chars]",1,0.0,2021-01-08
6,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Emily Glazer, Collin Eaton, Orla McCaffrey",Businesses Brace for a Democratic Congress - The Wall Street Journal,"Georgia Senate victories, which surprised some business groups, could ease way for Biden cabinet picks, lead to increased oversight of financial, oil industries",https://www.wsj.com/articles/businesses-brace-for-a-democratic-congress-11610107201,https://images.wsj.net/im-282030/social,2021-01-08T12:00:00Z,"Businesses are scrambling to assess the impact of Democrats winning control of the Senate, a development that took some by surprise and is expected to accelerate Biden administration policy changes a… [+1359 chars]",1,0.33525,2021-01-08
7,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Rochelle Toplensky,Joe Biden’s Big Decision on Tech Taxes - The Wall Street Journal,"Apple, Alphabet and others will pay the price if the incoming president doesn’t back global reform efforts",https://www.wsj.com/articles/joe-bidens-big-decision-on-tech-taxes-11610105744,https://images.wsj.net/im-282551/social,2021-01-08T11:35:00Z,"If President-elect Joe Biden bats the thorny question of tech taxes down the road the way Democratic predecessor Barack Obama did, investors will pay the price.
U.S. tech giants are already handing … [+1371 chars]",1,-0.05135,2021-01-08
8,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Peggy Noonan,NOONAN: Bring the Insurrectionists to Justice...,"NOONAN: Bring the Insurrectionists to Justice...

 
 
 
 (Second column, 1st story, link)

 

 

 
 Related stories:Man who jumped into House chamber from visitors gallery is Idaho marketing exec...
PROUD BOYS: READY FOR MORE...
National Guard mobilized…",https://www.wsj.com/articles/bring-the-insurrectionists-to-justice-11610065179,https://images.wsj.net/im-282322/social,2021-01-08T04:04:38Z,"We remember who we are. We are a great nation and a strong one; we have, since our beginning, been a miracle in the political history of man. We have brought much good. We are also in trouble, no poi… [+6898 chars]",1,0.3972,2021-01-08
9,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Natalie Andrews, Alex Leary, Josh Mitchell","Schumer, Pelosi Call for Trump’s Removal After Capitol Riot - The Wall Street Journal","<ol><li>Schumer, Pelosi Call for Trump’s Removal After Capitol Riot  The Wall Street Journal
</li><li>Trump statement says there will be transition of power, but fails to condemn violence  CBS News
</li><li>The Latest on the Attack on the US Capitol: Live N…",https://www.wsj.com/articles/trump-agrees-to-orderly-transfer-of-power-to-biden-after-day-of-turmoil-at-capitol-11610027394,https://images.wsj.net/im-282111/social,2021-01-08T01:55:00Z,"WASHINGTONDemocratic congressional leaders
Nancy Pelosi
and Chuck Schumer called for President
Trump
to be removed from office while two cabinet officials resigned, a day after the Capitol was st… [+13871 chars]",1,-0.7611,2021-01-08
10,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",John Gruber,Those Radical Left-Wingers on The Wall Street Journal Editorial Board Call on Trump to Resign,The best outcome would be for him to resign to spare the U.S. another impeachment fight.,https://www.wsj.com/articles/donald-trumps-final-days-11610062773,https://images.wsj.net/im-282392/social,2021-01-08T00:47:35Z,"The lodestar of these columns is the U.S. Constitution. The document is the durable foundation protecting liberty, and this week it showed its virtue again. Despite being displaced for a time by a mo… [+5297 chars]",1,-0.14420000000000002,2021-01-08
11,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Brad Lips,HAMMER DROPS IN HONG KONG...,"HAMMER DROPS IN HONG KONG...

 
 
 
 (Third column, 14th story, link)

 

 

 
 Related stories:West turning blind eye?",https://www.wsj.com/articles/jimmy-lais-message-of-hope-11609976033,https://images.wsj.net/im-281583/social,2021-01-07T22:34:39Z,Jimmy Lai began 2021 in jail. The detention last month of the prominent Hong Kong businessman and democracy activist suggested that the Chinese Communist Party was looking to crack down on dissent. T… [+1693 chars],1,-0.20095,2021-01-07
