,source,author,title,description,url,urlToImage,publishedAt,content,count,sentiment,datetime
0,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Scott Patterson, Amrith Ramkumar","Green Finance Goes Mainstream, Lining Up Trillions Behind Global Energy Transition - The Wall Street Journal","<ol><li>Green Finance Goes Mainstream, Lining Up Trillions Behind Global Energy Transition  The Wall Street Journal
</li><li>Illinois law promised clean energy, solar boom along with Exelon nuclear bailout, hasn’t delivered on creatin…  Chicago Sun-Times
</…",https://www.wsj.com/articles/green-finance-goes-mainstream-lining-up-trillions-behind-global-energy-transition-11621656039,https://images.wsj.net/im-336565/social,2021-05-22T04:00:00Z,"Some of the worlds biggest companies and deepest-pocketed investors are lining up trillions of dollars to finance a shift away from fossil fuels.
Assets in investment funds focused partly on the env… [+1496 chars]",1,0.5319,2021-05-22
1,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Julie Wernau, Brianna Abbott",Getting More People Vaccinated Against Covid-19 Means Wasting Doses - The Wall Street Journal,Getting More People Vaccinated Against Covid-19 Means Wasting Doses  The Wall Street JournalView Full Coverage on Google News,https://www.wsj.com/articles/getting-more-people-vaccinated-against-covid-19-means-wasting-doses-11621594802,https://images.wsj.net/im-341772/social,2021-05-21T16:14:00Z,"When Covid-19 vaccines first arrived at health departments around the country, officials took to calling the shots liquid gold in a plea to prevent doses from going unused or being wasted.
Now that … [+973 chars]",1,-0.4019,2021-05-21
2,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Ana Rivas, Juanje Gomez",Inflation Rate Calculator: Customize Your Own Consumer-Price Index - The Wall Street Journal,"<ol><li>Inflation Rate Calculator: Customize Your Own Consumer-Price Index  The Wall Street Journal
</li><li>Is It Time to Panic About Inflation? Ask These 5 Questions First.  The New York Times
</li><li>Inflation Surveys and Market Pricing Are Consistent W…",https://www.wsj.com/articles/inflation-rate-calculator-customize-your-own-consumer-price-index-11621503004,https://images.wsj.net/im-340830/social,2021-05-20T09:30:00Z,The Labor Department reported last week that its consumer-price index jumped 4.2% in April from a year earlier. That means consumers need to spend 4.2% more money to buy the same amount of goods and … [+1608 chars],1,-0.2553,2021-05-20
3,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",hourislate,"As Texas Went Dark, the State Paid Natural-Gas Companies to Go Offline","Article URL: https://www.wsj.com/articles/as-texas-went-dark-the-state-paid-natural-gas-companies-to-go-offline-11620385201
Comments URL: https://news.ycombinator.com/item?id=27216479
Points: 15
# Comments: 1",https://www.wsj.com/articles/as-texas-went-dark-the-state-paid-natural-gas-companies-to-go-offline-11620385201,https://images.wsj.net/im-334539/social,2021-05-20T01:48:43Z,"As a winter storm attacked Texas in February, the states grid operator made a last-ditch attempt to avert mass blackouts. The move ended up constraining natural-gas supplies needed by power plants, a… [+8440 chars]",1,-0.064,2021-05-20
4,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Tobias Grey,New Look at Wicked Emperor...,"New Look at Wicked Emperor...

 
 
 
 (Second column, 11th story, link)

 

 

 
 Related stories:Nero remembered as villain, but more to ruler than meets eye?

 

 
 
 Drudge Report Feed needs your support!   Become a Patron",https://www.wsj.com/articles/a-new-look-at-a-wicked-emperor-11621020758,https://images.wsj.net/im-337636/social,2021-05-15T13:37:37Z,"After the Roman emperor Nero committed suicide in 68 AD, at the age of 30, a hostile Senate made a concerted effort to suppress any record of his existence. This act of damnatio memoriae, condemnatio… [+4871 chars]",1,-0.21935,2021-05-15
5,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Mike Colias, Ben Foldy, Nora Naughton","Empty Lots, Angry Customers: Chip Crisis Throws Wrench into Car Business - The Wall Street Journal","Car makers have cut production of 1.2 million vehicles in North America because of a shortage of computer chips, losing sales amid high demand",https://www.wsj.com/articles/empty-lots-angry-customers-chip-crisis-throws-wrench-into-car-business-11620909719,https://images.wsj.net/im-337841/social,2021-05-13T12:42:00Z,"Americans are shopping for cars in near-record numbers, but the worlds computer-chip shortage has left dealers with the fewest offerings in decades.The market mismatch is driving up prices, and many … [+9667 chars]",1,-0.7916,2021-05-13
6,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Jon Sindreu,Inflation Doesn’t Have to Mean High Interest Rates,Issues like the semiconductor shortage are pushing up prices. Investing in production can be a better way to deal with inflation than interest-rate rises.,https://www.wsj.com/articles/inflation-doesnt-have-to-mean-high-interest-rates-11620906329,https://images.wsj.net/im-337884/social,2021-05-13T11:45:00Z,Does inflation always lead to high interest rates? Washingtons semiconductor ambitions point to a more logical policy response.Inflation is back. The U.S. consumer-price index surged to a 13-year hig… [+3817 chars],1,0.49274999999999997,2021-05-13
7,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Peter Rudegeair,Robinhood’s Biggest Business More Than Tripled in the First Quarter - The Wall Street Journal,The trading app generated $331 million in payments for order flow during the stock-trading frenzy in the first three months of 2021,https://www.wsj.com/articles/robinhoods-biggest-business-more-than-tripled-in-the-first-quarter-11619975534,https://images.wsj.net/im-332976/social,2021-05-02T17:12:00Z,"The stock-trading mania of early 2021 lifted revenue at Robinhood Markets Inc. to new heights.When its customers buy and sell stocks and options, Robinhood routes those orders to high-speed traders, … [+2455 chars]",1,-0.1591,2021-05-02
8,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Christine Mai-Duc,Newsom Near-Certain to Face Recall Election... Developing...,"Some 1.63 million people have signed petition to recall the Democrat, making an election likely later this year",https://www.wsj.com/articles/california-gov-gavin-newsom-near-certain-to-face-recall-election-11619477695,https://images.wsj.net/im-330307/social,2021-04-27T00:52:37Z,"Californias governor,
Gavin Newsom,
is now almost certain to face a recall election later this year.According to figures released Monday by Californias secretary of state, election officials have v… [+3002 chars]",1,0.0,2021-04-27
