,source,author,title,description,url,urlToImage,publishedAt,content,count,sentiment,datetime
0,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Anna Hirtenstein, Caitlin Ostroff, Alexander Osipovich",BILLIONS WIPED,"Investors have shunned riskier assets this week, marking a sudden shift in mood that is delivering heavy losses to inexperienced traders",https://www.wsj.com/articles/bitcoin-and-dogecoin-prices-tumble-as-investors-sour-on-cryptos-11621435489,https://images.wsj.net/im-340646/social,2021-05-19T16:07:36Z,"Bitcoin, dogecoin and other cryptocurrencies plunged in value on Wednesday as investors soured on the speculative bets that have soared in popularity this year.Bitcoins price tumbled as much as 30% s… [+4152 chars]",1,-0.26335,2021-05-19
1,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Caitlin Ostroff, Paul Vigna",Ethereum Luminary Makes $1 Billion Covid-19 Gift—in Shiba Inu Coin - The Wall Street Journal,"<ol><li>Ethereum Luminary Makes $1 Billion Covid-19 Gift—in Shiba Inu Coin  The Wall Street Journal
</li><li>Vitalik's Regift of Unsolicited DOGE Knockoffs Sends Memecoin Prices Plunging - CoinDesk  CoinDesk
</li><li>Uniswap's UNI should become an oracle to…",https://www.wsj.com/articles/ethereum-luminary-makes-1-billion-covid-19-donationin-shiba-inu-coin-11620862550,https://images.wsj.net/im-337748/social,2021-05-13T00:20:00Z,"Vitalik Buterin, co-creator of the crypto network Ethereum, donated more than $1 billion on Wednesday to a relief fund to combat the spread of Covid-19 in India.At least, it was $1 billion when he ma… [+3652 chars]",1,0.0,2021-05-13
